model,finished_runs,benchmarks,benchmark_names,scaffolds,scaffold_names,median_tasks_per_run,p90_tasks_per_run,all_task_error_runs,any_task_error_runs,first_started_at,last_started_at
openai/gemma-fabv2-final,2,1,fabv2-internal,1,fabv2_agent_gemma,225.5,405.1,0,1,2026-06-29T09:30:00.740650Z,2026-06-29T10:12:10.254145Z
openai/gpt-4.1-mini,2,2,code-migration | emb,2,emb_agent | mini_swe_code_migration,1.0,1.0,2,2,2026-06-03T19:22:22.261048Z,2026-06-05T04:51:25.756363Z
openai/gpt-4o-transcribe,2,1,voice-code-bench,1,voice_code_bench_transcriber,8.0,9.6,0,0,2026-07-10T22:24:46.289427Z,2026-07-11T00:39:00.824433Z
openai/joule-alpha-code-mode,2,2,swebench | terminal-bench,2,mini_sweagent | terminus2,95.5,100.7,0,1,2026-06-03T08:18:52.964964Z,2026-06-03T08:19:05.212571Z
openai/nova-alpha-high,2,1,code-migration,1,mini_swe_code_migration,130.0,130.0,0,2,2026-06-24T23:48:55.942362Z,2026-06-25T01:24:40.134765Z
zai/glm-5-turbo-thinking,2,1,swebench,1,mini_sweagent,3.0,3.0,0,0,2026-03-31T03:51:47.666127Z,2026-04-03T04:33:42.921193Z
zai/glm-5.2-high,2,1,terminal-bench,1,terminus2,89.0,89.0,0,0,2026-06-16T20:54:00.355115Z,2026-06-16T20:54:04.503868Z
Qwen/Qwen3.6-35B-A3B,1,1,fabv2-internal,1,fabv2_agent_qwen35b_submitted_31cef238,126.0,126.0,0,0,2026-06-30T05:33:27.096109Z,2026-06-30T05:33:27.096109Z
alibaba/qwen3.5-plus-thinking,1,1,harvey-legal-agent,1,harvey-labs,10.0,10.0,0,0,2026-05-09T21:46:06.506207Z,2026-05-09T21:46:06.506207Z
anthropic/claude-fable-5-no-fallback,1,1,code-migration,1,mini_swe_code_migration,20.0,20.0,0,1,2026-06-10T02:30:36.741260Z,2026-06-10T02:30:36.741260Z
anthropic/claude-horchata-eap-low,1,1,vcb,1,openhands,50.0,50.0,0,0,2026-07-23T07:54:04.276894Z,2026-07-23T07:54:04.276894Z
anthropic/claude-horchata-eap-medium,1,1,vcb,1,openhands,50.0,50.0,0,0,2026-07-23T07:54:07.724233Z,2026-07-23T07:54:07.724233Z
anthropic/claude-horchata-eap-xhigh,1,1,vcb,1,openhands,50.0,50.0,0,0,2026-07-23T07:54:14.574472Z,2026-07-23T07:54:14.574472Z
anthropic/claude-nougat-p,1,1,swebench,1,mini_sweagent,500.0,500.0,0,0,2026-04-15T17:24:02.805717Z,2026-04-15T17:24:02.805717Z
anthropic/claude-opus-4.7,1,1,cyberbench,1,mini_sweagent_poc_agent,89.0,89.0,1,1,2026-05-22T18:51:33.645406Z,2026-05-22T18:51:33.645406Z
anthropic/claude-opus-5-no-fallback,1,1,proof-bench,1,proof_bench_agent_1_1,100.0,100.0,0,0,2026-08-03T15:45:55.073805Z,2026-08-03T15:45:55.073805Z
baseten/poolside/laguna-s-2.1-int4,1,1,fabv2-internal,1,fabv2_agent_laguna_direct,1.0,1.0,0,0,2026-07-28T01:01:36.132618Z,2026-07-28T01:01:36.132618Z
deepseek/deepseek-v4-pro-nonthinking,1,1,terminal-bench,1,terminus2,89.0,89.0,0,0,2026-04-24T03:12:28.466753Z,2026-04-24T03:12:28.466753Z
fabv2,1,1,fabv2-internal,1,fabv2_agent_gemma_submitted,126.0,126.0,0,0,2026-06-30T01:27:36.054909Z,2026-06-30T01:27:36.054909Z
gemini-3.1-pro,1,1,cyberbench,1,mini_sweagent_poc_agent,75.0,75.0,1,1,2026-06-02T01:15:45.342819Z,2026-06-02T01:15:45.342819Z
gemini-3.5-flash,1,1,harvey-legal-agent,1,harvey-labs,4.0,4.0,0,1,2026-06-13T00:56:30.534455Z,2026-06-13T00:56:30.534455Z
gemma4-fabv2-lora,1,1,fabv2-internal,1,rsi_fabv2_custom_harness_eval_20260629,4.0,4.0,0,0,2026-06-29T19:04:03.490313Z,2026-06-29T19:04:03.490313Z
gpt-5.4-nano-2026-03-17,1,1,emb,1,emb_agent,14.0,14.0,1,1,2026-06-01T01:52:27.428127Z,2026-06-01T01:52:27.428127Z
grok/grok-4-0709,1,1,vcb,1,openhands,20.0,20.0,0,1,2026-04-30T05:16:07.022987Z,2026-04-30T05:16:07.022987Z
grok/grok-4-fast-non-reasoning,1,1,web-search,1,web-search-agent,1.0,1.0,0,0,2026-06-26T23:47:06.356698Z,2026-06-26T23:47:06.356698Z
grok/grok-experimental-0410-1p5m-exp-sa,1,1,fabv2-internal,1,fabv2_agent,2.0,2.0,0,0,2026-04-28T03:01:49.391028Z,2026-04-28T03:01:49.391028Z
kimi/kimi-k2-thinking,1,1,terminal-bench,1,terminus2,89.0,89.0,0,0,2026-04-21T20:02:37.733451Z,2026-04-21T20:02:37.733451Z
openai-codex/gpt-5.4-nano,1,1,vcb,1,pi_agent,1.0,1.0,1,1,2026-06-07T06:06:21.999843Z,2026-06-07T06:06:21.999843Z
openai/b0-qwen35-posttrained,1,1,fabv2-internal,1,fabv2_matrix_eval_fast_v2_20260714,126.0,126.0,0,0,2026-07-15T01:37:28.845180Z,2026-07-15T01:37:28.845180Z
openai/firefly-alpha-code-mode,1,1,vcb,1,openhands,22.0,22.0,0,0,2026-06-03T11:01:11.667842Z,2026-06-03T11:01:11.667842Z
openai/gpt-5-mini,1,1,code-migration,1,mini_swe_code_migration,1.0,1.0,1,1,2026-06-05T04:54:41.615625Z,2026-06-05T04:54:41.615625Z
openai/gpt-5.4-2026-03-05-xhigh,1,1,code-migration,1,mini_swe_code_migration,20.0,20.0,1,1,2026-06-09T17:46:13.145646Z,2026-06-09T17:46:13.145646Z
openai/gpt4o-mini,1,1,proof-bench,1,proof_bench_agent,100.0,100.0,0,0,2026-06-18T05:55:03.269593Z,2026-06-18T05:55:03.269593Z
openai/h0,1,1,fabv2-internal,1,fabv2_matrix_eval_fast_20260714,126.0,126.0,0,1,2026-07-14T20:00:03.423907Z,2026-07-14T20:00:03.423907Z
openai/h1,1,1,fabv2-internal,1,fabv2_matrix_eval_fast_20260714,126.0,126.0,0,1,2026-07-14T20:00:03.539050Z,2026-07-14T20:00:03.539050Z
openai/h4,1,1,fabv2-internal,1,fabv2_matrix_eval_fast_v2_20260714,126.0,126.0,0,0,2026-07-14T22:43:04.583159Z,2026-07-14T22:43:04.583159Z
openai/h5,1,1,fabv2-internal,1,fabv2_matrix_eval_fast_v2_20260714,126.0,126.0,0,0,2026-07-14T22:51:16.068318Z,2026-07-14T22:51:16.068318Z
openai/qwen35-9b-posttrained-baseline,1,1,fabv2-internal,1,eval_agent_posttrained_baseline,126.0,126.0,0,0,2026-07-20T03:27:45.288358Z,2026-07-20T03:27:45.288358Z
openai/qwen35-e0d-chosen-step16,1,1,fabv2-internal,1,weightonly_endpoint_20260716,126.0,126.0,0,1,2026-07-21T20:21:39.533456Z,2026-07-21T20:21:39.533456Z
openai/qwen35-e0d-chosen-step8,1,1,fabv2-internal,1,weightonly_endpoint_20260716,126.0,126.0,0,0,2026-07-21T20:07:15.041299Z,2026-07-21T20:07:15.041299Z
openai/qwen35-e0d-control-step16,1,1,fabv2-internal,1,weightonly_endpoint_20260716,126.0,126.0,0,0,2026-07-21T20:21:52.938682Z,2026-07-21T20:21:52.938682Z
openai/qwen35-e0d-control-step8,1,1,fabv2-internal,1,weightonly_endpoint_20260716,126.0,126.0,0,0,2026-07-21T20:07:51.811097Z,2026-07-21T20:07:51.811097Z
qwen35-9b-base-baseline,1,1,fabv2-internal,1,eval_agent_base_baseline,126.0,126.0,0,0,2026-07-20T05:45:18.298019Z,2026-07-20T05:45:18.298019Z
vcb-retry-smoke,1,1,vcb,1,vcb-retry-smoke-agent,1.0,1.0,1,1,2026-05-07T16:46:04.008313Z,2026-05-07T16:46:04.008313Z
zai/glm-4.7,1,1,vcb,1,openhands,20.0,20.0,0,1,2026-04-30T17:44:29.230593Z,2026-04-30T17:44:29.230593Z
zai/glm-5,1,1,snap,1,snap-agent,1.0,1.0,0,0,2026-05-07T23:34:18.853533Z,2026-05-07T23:34:18.853533Z
zai/glm-5-thinking5,1,1,fab,1,finance-agent,1.0,1.0,1,1,2026-04-10T20:17:14.163112Z,2026-04-10T20:17:14.163112Z
zai/glm-5-turbo,1,1,swebench,1,mini_sweagent,500.0,500.0,0,1,2026-03-31T03:39:00.611146Z,2026-03-31T03:39:00.611146Z
zai/glm-5.2-max-tokens-64k-top-p-1,1,1,programbench,1,programbench_agent,200.0,200.0,0,1,2026-06-17T10:47:58.751056Z,2026-06-17T10:47:58.751056Z
